iter	Logloss
0	0.6513697774
1	0.6184298279
2	0.5950114075
3	0.5753303589
4	0.5595847127
5	0.5453733968
6	0.5336585022
7	0.5242949198
8	0.5155277018
9	0.5074847046
10	0.5006310364
11	0.4948352071
12	0.4895837382
13	0.4844690145
14	0.4797315114
15	0.4755810181
16	0.472243041
17	0.4689903147
18	0.4659082926
19	0.4625740835
20	0.4595392629
21	0.4564971903
22	0.4538014506
23	0.4508059977
24	0.4483892314
25	0.4457064087
26	0.4435106842
27	0.4413732676
28	0.4387038452
29	0.4364908864
30	0.4345031047
31	0.4325880503
32	0.4307621979
33	0.4288045929
34	0.4266171641
35	0.4248359884
36	0.4232353872
37	0.4216713369
38	0.4201183899
39	0.4185966512
40	0.4169013082
41	0.4151157511
42	0.4131570526
43	0.4116544332
44	0.4103764618
45	0.409101358
46	0.4077247365
47	0.4061263845
48	0.4046305461
49	0.4032302968
50	0.401341625
51	0.3997209076
52	0.3982235097
53	0.396758136
54	0.3953218943
55	0.3937530945
56	0.3923389353
57	0.3905776693
58	0.3890126506
59	0.3874490865
60	0.3858374939
61	0.3843276438
62	0.3828013184
63	0.3812781962
64	0.3796841644
65	0.37814045
66	0.3764104238
67	0.3748602468
68	0.3736050323
69	0.3722892517
70	0.3708574758
71	0.3695251475
72	0.367919341
73	0.3663151652
74	0.3648360545
75	0.3635192596
76	0.3620505208
77	0.3608601023
78	0.3594410726
79	0.3582217326
80	0.3569929799
81	0.3555819906
82	0.3545175537
83	0.35316745
84	0.3516605662
85	0.3503111338
86	0.3491896637
87	0.3476478811
88	0.3463587331
89	0.3449553223
90	0.3438565297
91	0.3426954244
92	0.3413472717
93	0.3400478058
94	0.3388379395
95	0.3376707367
96	0.3364158274
97	0.3350625946
98	0.3337934184
99	0.3324469818
100	0.3315292745
101	0.3302283712
102	0.3290640198
103	0.3277854808
104	0.326662442
105	0.3256562968
106	0.3247017242
107	0.3236790538
108	0.3225246063
109	0.3213164469
110	0.3202535787
111	0.3190675232
112	0.3178606181
113	0.3168375356
114	0.3159252716
115	0.3149504191
116	0.3139538717
117	0.3130589111
118	0.3119531779
119	0.310904538
120	0.3097392131
121	0.3085988881
122	0.3076953176
123	0.3066627431
124	0.3054900492
125	0.3044285217
126	0.3032401042
127	0.3020490092
128	0.3009368388
129	0.2998635244
130	0.2987297801
131	0.2978220693
132	0.2967952189
133	0.2956388682
134	0.2947153473
135	0.2936811442
136	0.2927315867
137	0.2916849965
138	0.2906696726
139	0.2896250926
140	0.2886517751
141	0.2875974223
142	0.2868117605
143	0.2859127523
144	0.2849484538
145	0.2841006887
146	0.28324263
147	0.2824965729
148	0.2815365621
149	0.2806164825
150	0.2796559855
151	0.2786872965
152	0.278037792
153	0.2772335795
154	0.2763888428
155	0.2756103668
156	0.2747591278
157	0.2738882609
158	0.2731011353
159	0.2721101166
160	0.2711646189
161	0.2704197144
162	0.2694487386
163	0.2685268728
164	0.2676534922
165	0.2668519969
166	0.2661270162
167	0.2654666005
168	0.2644827698
169	0.2638835876
170	0.2630164897
171	0.2621389445
172	0.261320638
173	0.2604592367
174	0.2597049469
175	0.2591256093
176	0.2582689641
177	0.257390654
178	0.2565187571
179	0.2555963186
180	0.2547254374
181	0.253814888
182	0.2529298701
183	0.2520489415
184	0.2512604009
185	0.2504230174
186	0.2496436081
187	0.2488941605
188	0.2481889842
189	0.2472519699
190	0.246581395
191	0.2459206772
192	0.2450785227
193	0.2444689473
194	0.2437459824
195	0.2431490138
196	0.2423866923
197	0.2416348699
198	0.2408423386
199	0.2401836075
