iter	Passed	Remaining
0	201	40150
1	240	23826
2	281	18484
3	342	16789
4	390	15232
5	440	14236
6	493	13605
7	549	13180
8	599	12715
9	645	12265
10	702	12065
11	752	11794
12	793	11412
13	832	11063
14	871	10751
15	909	10464
16	947	10201
17	985	9968
18	1025	9770
19	1066	9594
20	1107	9436
21	1146	9273
22	1184	9112
23	1234	9056
24	1273	8911
25	1312	8782
26	1352	8668
27	1390	8543
28	1429	8426
29	1466	8312
30	1504	8202
31	1543	8104
32	1579	7994
33	1618	7902
34	1655	7804
35	1691	7706
36	1727	7612
37	1764	7523
38	1802	7441
39	1840	7362
40	1881	7298
41	1929	7258
42	2569	9381
43	3545	12569
44	4240	14606
45	4492	15040
46	4726	15385
47	4950	15677
48	5173	15942
49	5387	16161
50	5610	16391
51	5835	16609
52	6067	16828
53	6490	17548
54	7098	18713
55	7558	19437
56	7899	19816
57	8341	20421
58	8735	20877
59	8860	20674
60	8932	20354
61	8989	20009
62	9056	19693
63	9106	19350
64	9155	19015
65	9206	18691
66	9253	18369
67	9301	18055
68	9350	17751
69	9397	17452
70	9446	17163
71	9498	16885
72	9558	16629
73	9618	16377
74	9673	16122
75	9720	15860
76	9759	15589
77	9795	15321
78	9835	15063
79	9874	14811
80	9917	14570
81	10395	14958
82	10741	15142
83	11585	15999
84	11878	16070
85	12111	16054
86	12174	15812
87	12233	15569
88	12289	15327
89	12355	15100
90	12415	14871
91	12462	14629
92	12506	14389
93	12548	14150
94	12593	13919
95	12640	13694
96	12688	13473
97	12733	13252
98	12779	13037
99	12821	12821
100	12862	12607
101	12910	12404
102	12954	12199
103	13001	12001
104	13044	11802
105	13090	11608
106	13129	11411
107	13168	11217
108	13205	11025
109	13245	10836
110	13282	10649
111	13319	10464
112	13360	10286
113	13401	10109
114	13439	9933
115	13480	9761
116	13519	9590
117	13554	9419
118	13596	9255
119	13637	9091
120	13677	8930
121	13715	8769
122	13753	8609
123	13798	8456
124	13840	8304
125	13883	8153
126	13933	8009
127	13977	7862
128	14022	7717
129	14068	7575
130	14112	7433
131	14158	7293
132	14205	7156
133	14249	7018
134	14290	6880
135	14335	6746
136	14380	6612
137	14425	6480
138	14471	6350
139	14515	6221
140	14560	6092
141	14606	5965
142	14653	5841
143	14696	5715
144	14747	5594
145	14793	5471
146	14834	5348
147	14875	5226
148	14918	5106
149	14963	4987
150	15006	4869
151	15050	4752
152	15092	4636
153	15134	4520
154	15175	4405
155	15219	4292
156	15263	4180
157	15306	4068
158	15348	3957
159	15391	3847
160	15437	3739
161	15483	3631
162	15528	3524
163	15572	3418
164	15615	3312
165	15658	3207
166	15703	3103
167	15747	2999
168	15797	2897
169	15843	2795
170	15893	2695
171	15939	2594
172	15988	2495
173	16040	2396
174	16087	2298
175	16135	2200
176	16182	2102
177	16231	2006
178	16283	1910
179	16333	1814
180	16385	1720
181	16436	1625
182	16487	1531
183	16537	1438
184	16591	1345
185	16646	1252
186	16695	1160
187	16743	1068
188	16791	977
189	16841	886
190	16887	795
191	16936	705
192	16981	615
193	17026	526
194	17070	437
195	17112	349
196	17151	261
197	17191	173
198	17234	86
199	17273	0
